Case Status,Merchant,Create Date,Assigned To,Data Entry By,Assigned Date,Case Type,Tow Location,Merchant Address,Days Open,Industry,Practice,Closed Date,Disposition,Disposition Description,Dispostion Area
Closed,On The Run Towing,7/2/2023,David Elswick,Public,7/5/2023,Consumer,5707 Luxemburg St. North Bethesda 20852,89 Derwood Circle,20,Towing,Towing - Unauthorized,8/1/2023,400,RESOLVED:  Citation Issued,Legal Actions
Closed,Speedy Towing,7/2/2023,David Elswick,Public,7/31/2023,Consumer,19801 Wheelright Dr Gaithersburg 20886,15101 Southlawn Lane,5,Towing,"Towing - Insufficient Signage, Towing - Unauthorized",8/4/2023,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Vantage Management /Timberlawn Crescent,7/2/2023,David Elswick,Public,7/5/2023,Consumer,5707 Luxemburg St. North Bethesda 20852,5707 Luxemburg Street,17,Towing,Towing - Unauthorized,7/27/2023,400,RESOLVED:  Citation Issued,Legal Actions
Closed,Henry Wrecker Service,7/4/2023,Bernardo Vega,Public,7/5/2023,Consumer,Fairbanks Dr. Gaithersburg 20877,8321Beechcraft Av,15,Towing,Towing - Unauthorized,7/25/2023,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,HENRY'S TOWING,7/7/2023,David Elswick,Public,7/31/2023,Consumer,19104 Mills Choice Rd. Montgomery Village 20886,,2,Towing,Towing - Unauthorized,8/1/2023,900,RESOLVED:  Consumer withdrew complaint - Consumer withdraws complaint either by expressly requesting a withdrawal or by failing to communicate with OCP.,Complaint Resolved
Closed,Speedy Towing & Recovery,7/8/2023,David Elswick,Public,7/31/2023,Consumer,14146 Castle Blvd. Silver Spring 20904,15101 SouthLawn Lane,5,Towing,Towing - Unauthorized,8/4/2023,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Prestige Towing,7/8/2023,David Elswick,Public,7/10/2023,Consumer,11554 Lockwood Dr. Silver Spring 20904,13 Fedor Ave,13,Towing,"Towing - Predatory, Towing - Unauthorized",7/26/2023,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Millwood townhomes and Bumper 2 bumper towing,7/9/2023,David Elswick,Public,7/10/2023,Consumer,Unknown/No Jurisdiction,1418 Karen Blvd,1,Towing,Towing - Unauthorized,7/10/2023,310,REFERRED:  Consumer agency in another state or county,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Authorized Towing,7/12/2023,David Elswick,Public,7/12/2023,Consumer,9527 Tippet Ln. Montgomery Village 20886,14514 Southlawn Lane,7,Towing,Towing - Unauthorized,7/20/2023,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Henry's Wrecker Service,7/18/2023,David Elswick,Public,7/24/2023,Business-to-Business,8151 Flatbush St. Derwood 20855,8321 Beechcraft Ave,11,Towing,Towing - Unauthorized,8/7/2023,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's Wrecker Service,7/18/2023,David Elswick,Public,7/24/2023,Consumer,4998 Battery Ln. Bethesda 20814,2701 Garfield Avenue,1,Towing,Towing - Unauthorized,7/24/2023,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Henry's Wrecker Service,7/19/2023,David Elswick,Public,7/24/2023,Consumer,17 Barkley Ln. Gaithersburg 20877,8321 Beechcraft Ave,9,Towing,"Damage Claim, Towing - Unauthorized",8/3/2023,150,"RESOLVED:  Acceptable explanation - Merchant provides an acceptable explanation for action/inaction.  (Ex. no damage, item outside warranty period.)",Complaint Resolved
Closed,Prestige Towing,7/25/2023,David Elswick,Public,7/26/2023,Consumer,14301 Georgia Ave. Silver Spring 20906,13 Fedor Ave,23,Towing,Towing - Unauthorized,8/25/2023,110,RESOLVED:  FULL Refund - Consumer receives FULL refund based Investigator-Validated amount.,Complaint Resolved
Closed,Henry's wrecker servicce,7/25/2023,David Elswick,FLOREC07,7/25/2023,Consumer,9920 Ridgeline Dr. Montgomery Village 20886,8321 Beechcraft Avenue,1,Towing,Towing - Unauthorized,7/25/2023,300,REFERRED:  Montgomery County agency,"Complaint Referred, Withdrawn, Noted, or No Juris."
Closed,Grace Towing and Recovery,7/31/2023,David Elswick,Public,7/31/2023,Consumer,No Tow/Business Dispute,8001 Beechcraft Ave,2,Towing,Towing - Unauthorized,8/1/2023,170,"RESOLVED:  Consumer obtained other requested relief - Complaint is resolved and did not involve refund, goods, repair, or business practice complained about.  Ex. Consumer requested/received an apology.",Complaint Resolved
