Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Notes,Location,City,lon,lat,Reason for tow,Trade Name,Merchant,Address,lot_lon,lot_lat,tow_dist
2023-10-03,2016.0,JEEP,CMP,REASON:  NOP  BACK TO TCL > DRIVE (301) 585-8808,11700 COLUMBIA PIKE,SILVER SPRING,-76.982369269,39.049615065,NOP,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,10731.6
2022-08-23,2023.0,KIA,SOUL,HANDICAP SPACE VIOLATION. HENRYS. 301-869-4800 TCL.,11225 OAK LEAF DR,SILVER SPRING,-76.99446,39.04085,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,30446.0
2023-02-19,2016.0,HOND,CIV,NOP // HENRYS 301 869 4800 // TCL,255 N WASHINGTON ST,ROCKVILLE,-77.15303,39.08709,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11048.5
2022-07-05,2010.0,LEXS,R35,AUTH / 301-562-4020  NOP / TCL,370 E DIAMOND AVE,GAITHERSBURG,-77.19116,39.14214,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,5393.4
2022-10-26,2013.0,NISS,SEN,PRV // TCL  HENRY 301-927-00,2231 GLENALLAN AVE,SILVER SPRING,-77.04762,39.06224,PVT,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,17807.0
2023-05-24,2023.0,SUBA,OUT,MANAGEMENT REQ  HENRYS 301 869 4800,8616 2ND AVE,SILVER SPRING,-77.03434096499996,38.99734301900003,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31203.2
2022-12-29,2016.0,NISS,ALT,NO PERMIT // HENRY'S // 301 869 4800 // TCL,7922 CORIANDER DR,GAITHERSBURG,-77.16547,39.15868,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,1461.8
2023-04-17,2017.0,TOYT,HGH,SPEEDY 301-588-1322 // TAGS AND PARKING PERMIT DONT MATCH // TCL,8715 PINEY BRANCH RD,SILVER SPRING,-76.99653,38.99897,,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,21004.4
2022-05-14,2018.0,FORD,EXP,BIG TOW 301-424-4869 // NOP // TCL,1270 1ST ST,ROCKVILLE,-77.13462,39.09478,NOP,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,2783.8
2022-04-29,2010.0,CHEV,IMP,NO PERMIT // AUTHORIZED 301-562-4020 // TCL,10914 GEORGIA AVE,SILVER SPRING,-77.0496,39.03531,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,20992.4
2023-07-05,2016.0,TOYT,TAC,PARKED IN RESERVED SPACE  AUBURN 301 977 2740  TCL,12861 SAGE TER,GERMANTOWN,-77.266119028,39.161224984,PKG,"Auburn Towing, Inc.","Auburn Towing, Inc.","375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,13196.4
2023-10-13,2021.0,MAZD,CX5,FAILURE TO PAY FOR PARKING // SPEEDY 301-588-1322 // TCL// OWNER NTF,14175 CASTLE BLVD,SILVER SPRING,-76.939915838,39.087165382,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,23358.4
2021-08-30,2006.0,SCIO,TC,EXPIRED TAGS// HENRYS 301-869-4800 TCL,20234 LEA POND PL,MONTGOMERY VILLAGE,-77.19093,39.18827,EXP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,3678.6
2022-07-13,2006.0,HOND,ODY,"HENRYS, 3018694800  TCL  RSVRD SPACE",5510 ENGLISHMAN PL,ROCKVILLE,-77.11007,39.02754,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,22304.4
2022-02-14,2021.0,VOLV,XC40,UNAUTH PKG / NO PERMIT // HENRY'S 301 927 0007 // TCL,8621 GEORGIA AVE,SILVER SPRING,-77.02865,38.99647,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31076.9
2022-04-27,2016.0,JEEP,CHK,EXP - HENRY'S- 301-869-4800- TCL,11215 GEORGIA AVE,SILVER SPRING,-77.05059,39.03977,EXP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,20617.8
2023-04-27,2008.0,HOND,FIT,AUTH 3015624020  NOP   TCL,12633 GREY EAGLE CT,GERMANTOWN,-77.26196,39.16716,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13229.8
2024-03-23,2015.0,AUDI,Q7,,100 1ST ST,ROCKVILLE,-77.139280968,39.079332994,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,12241.8
2021-07-01,2012.0,KIA,SED,NO PERMIT // SPEEDY // 301-588-1322 // TCL,140 PRADO LN,CLARKSBURG,-77.27273,39.22488,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,21463.4
2021-08-29,1996.0,TOYT,CAM,PARKED IN FIRE LANE// HENRYS 301-927-0007//TCL,8508 16TH ST,SILVER SPRING,-77.03947,38.99782,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31269.2
2023-03-27,2018.0,TOYT,SNA,DOUBLE PARKED - SPEEDY 3015881322 TCL   *VIN BLOCKED*,1001 ROCKVILLE PIKE,ROCKVILLE,-77.13343,39.07186,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,4544.9
2022-03-07,,NISS,ALT,NO PERMIT  AUTHORIZED - 301-562-4020  BACK TO LOT,8021 GEORGIA AVE,SILVER SPRING,-77.02665,38.98763,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,31576.3
2023-02-03,2021.0,JEEP,CHK,NO PERMIT // HENRY'S 301-927-0007 // TCL,1220 BLAIR MILL RD,SILVER SPRING,-77.02917,38.98996,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,32072.3
2022-03-15,2019.0,HOND,ACC,"DIVERSIFIED, 3018818035  TCL  RSVD SPACE",5401 WESTBARD AVE,BETHESDA,-77.1056,38.96425,PVT,Diversified Recovery,Diversified Recovery,"12527 Parklawn Drive, Rockville, MD 20852",-77.117447177077,39.061616842557,13047.9
2022-04-22,2001.0,FORD,RNG,"AUBURN, 3019772747  TCL  NOP",18724 CURRY POWDER LN,GERMANTOWN,-77.26391,39.16234,NOP,"Auburn Towing, Inc.","Auburn Towing, Inc.","375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,13028.9
